0,1,2
0.0,-90,0.0
0.001,-90,9.861384059315002e-09
0.002,-90,1.1151998175758139e-07
0.003,-90,4.0342428164928714e-07
0.004,-90,9.210262005880376e-07
0.005,-90,1.64181524894461e-06
0.006,-90,2.5121839821206234e-06
0.007,-90,3.4701679934461315e-06
0.008,-90,4.459107842165802e-06
0.009,-90,5.433793447012716e-06
0.01,-90,6.361828612496449e-06
0.011,-90,7.222475772022883e-06
0.012,-90,8.004469957740124e-06
0.013,-90,8.703651074554365e-06
0.014,-90,9.320831052261545e-06
0.015,-90,9.860053859863539e-06
0.016,-90,1.0327267717245555e-05
0.017,-90,1.0729364249275112e-05
0.018,-90,1.1073516601525657e-05
0.019,-90,1.136674731680783e-05
0.02,-90,1.1615665135528301e-05
0.021,-90,1.1826321345021629e-05
0.022,-90,1.200414764372753e-05
0.023,-90,1.2153947330707825e-05
0.024,-90,1.227991957930566e-05
0.025,-90,1.2385702674893666e-05
0.026,-90,1.2474426651377455e-05
0.027,-90,1.2548769058620356e-05
0.028,-90,1.2611009923940884e-05
0.029,-90,1.2663083581520212e-05
0.03,-90,1.2706626130318395e-05
0.031,-90,1.2743017994501215e-05
0.032,-90,1.2773421512643921e-05
0.033,-90,1.2798813754931974e-05
0.034,-90,1.2820014919826299e-05
0.035,-90,1.2837712734508308e-05
0.036,-90,1.2852483305550747e-05
0.037,-90,1.2864808857287241e-05
0.038,-90,1.28750927684648e-05
0.039,-90,1.2883672281654144e-05
0.04,-90,1.2890829220152165e-05
0.041,-90,1.2896799007211664e-05
0.042,-90,1.2901778244424722e-05
0.043,-90,1.2905931071075156e-05
0.044,-90,1.2909394494763543e-05
0.045,-90,1.2912282855712498e-05
0.046,-90,1.2914691562769043e-05
0.047,-90,1.291670021799486e-05
0.048,-90,1.2918375228570123e-05
0.049,-90,1.2919771989207145e-05
0.05,-90,1.292093670505471e-05
0.051,-90,1.2921907913868844e-05
0.052,-90,1.2922717756753776e-05
0.053,-90,1.2923393038788459e-05
0.054,-90,1.2923956114131316e-05
0.055,-90,1.2924425624546131e-05
0.056,-90,1.2924817115551217e-05
0.057,-90,1.2925143550420143e-05
0.058,-90,1.29254157389337e-05
0.059,-90,1.2925642694997894e-05
0.06,-90,1.2925831934912648e-05
0.061,-90,1.2925989726129183e-05
0.062,-90,1.2926121294706498e-05
0.063,-90,1.2926230998318436e-05
0.064,-90,1.2926322470527972e-05
0.065,-90,1.2926398741097864e-05
0.066,-90,1.2926462336316092e-05
0.067,-90,1.2926515362654546e-05
0.068,-90,1.2926559576528927e-05
0.069,-90,1.2926596442468146e-05
0.07,-90,1.292662718161876e-05
0.071,-90,1.2926652812189744e-05
0.072,-90,1.2926674183176824e-05
0.073,-90,1.2926692002482748e-05
0.074,-90,1.292670686036471e-05
0.075,-90,1.2926719248985382e-05
0.076,-90,1.2926729578714909e-05
0.077,-90,1.2926738191723822e-05
0.078,-90,1.292674537331708e-05
0.079,-90,1.2926751361384454e-05
0.08,-90,1.2926756354280513e-05
0.081,-90,1.2926760517394948e-05
0.082,-90,1.2926763988631047e-05
0.083,-90,1.2926766882973677e-05
0.084,-90,1.2926769296298145e-05
0.085,-90,1.292677130854604e-05
0.086,-90,1.292677298637326e-05
0.087,-90,1.2926774385358016e-05
0.088,-90,1.292677555184185e-05
0.089,-90,1.2926776524464682e-05
0.09,-90,1.2926777335444761e-05
0.091,-90,1.2926778011645933e-05
0.092,-90,1.2926778575467438e-05
0.093,-90,1.292677904558596e-05
0.094,-90,1.292677943757424e-05
0.095,-90,1.2926779764416946e-05
0.096,-90,1.2926780036940796e-05
0.097,-90,1.2926780264173183e-05
0.098,-90,1.2926780453641216e-05
0.099,-90,1.292678061162105e-05
0.0,-80,0.0
0.001,-80,1.775788501271017e-07
0.002,-80,2.0399944364613616e-06
0.003,-80,7.489007640944764e-06
0.004,-80,1.733364842239822e-05
0.005,-80,3.129515870547614e-05
0.006,-80,4.845403130986809e-05
0.007,-80,6.766420386573164e-05
0.008,-80,8.782260772030423e-05
0.009,-80,0.00010800607765262861
0.01,-80,0.0001275171931013426
0.011,-80,0.00014587760045698197
0.012,-80,0.0001627962773342552
0.013,-80,0.00017812967209046763
0.014,-80,0.00019184292666758862
0.015,-80,0.00020397641774068425
0.016,-80,0.00021461895223914216
0.017,-80,0.000223887432424815
0.018,-80,0.00023191212430796043
0.019,-80,0.00023882645420658763
0.02,-80,0.0002447602909847201
0.021,-80,0.00024983581023272245
0.022,-80,0.00025416520686510327
0.023,-80,0.000257849686919415
0.024,-80,0.00026097931166132825
0.025,-80,0.000263633382835066
0.026,-80,0.0002658811481130936
0.027,-80,0.0002677826739553328
0.028,-80,0.00026938978330160444
0.029,-80,0.00027074699171503186
0.03,-80,0.0002718924011500811
0.031,-80,0.00027285852818504893
0.032,-80,0.0002736730554845411
0.033,-80,0.00027435950307791045
0.034,-80,0.00027493782097250867
0.035,-80,0.00027542490755732175
0.036,-80,0.0002758350598358113
0.037,-80,0.0002761803622137003
0.038,-80,0.00027647102067867554
0.039,-80,0.00027671564896630487
0.04,-80,0.00027692151286082045
0.041,-80,0.00027709473823152113
0.042,-80,0.0002772404878209856
0.043,-80,0.00027736311122131306
0.044,-80,0.0002774662719239012
0.045,-80,0.0002775530548202662
0.046,-80,0.0002776260570723383
0.047,-80,0.0002776874648619083
0.048,-80,0.00027773911816906583
0.049,-80,0.0002777825654154417
0.05,-80,0.0002778191095358558
0.051,-80,0.0002778498468073235
0.052,-80,0.00027787569956295657
0.053,-80,0.000277897443746014
0.054,-80,0.000277915732112443
0.055,-80,0.00027793111376523376
0.056,-80,0.0002779440505977572
0.057,-80,0.00027795493113324653
0.058,-80,0.00027796408217137746
0.059,-80,0.0002779717785884478
0.06,-80,0.0002779782515831867
0.061,-80,0.0002779836956142435
0.062,-80,0.00027798827423659584
0.063,-80,0.0002779921250113927
0.064,-80,0.000277995363636155
0.065,-80,0.00027799808741901897
0.066,-80,0.0002780003782011098
0.067,-80,0.00027800230481464907
0.068,-80,0.00027800392515051064
0.069,-80,0.0002780052878972442
0.07,-80,0.0002780064340037498
0.071,-80,0.0002780073979095017
0.072,-80,0.00027800820857925516
0.073,-80,0.00027800889037329755
0.074,-80,0.0002780094637793799
0.075,-80,0.0002780099460283091
0.076,-80,0.00027801035161168923
0.077,-80,0.00027801069271736505
0.078,-80,0.0002780109795956474
0.079,-80,0.0002780112208673225
0.08,-80,0.00027801142378269876
0.081,-80,0.000278011594439474
0.082,-80,0.00027801173796596844
0.083,-80,0.00027801185867522884
0.084,-80,0.0002780119601946374
0.085,-80,0.0002780120455749118
0.086,-80,0.00027801211738178166
0.087,-80,0.00027801217777308895
0.088,-80,0.00027801222856363195
0.089,-80,0.00027801227127969967
0.09,-80,0.0002780123072049392
0.091,-80,0.0002780123374189286
0.092,-80,0.00027801236282961857
0.093,-80,0.00027801238420061854
0.094,-80,0.00027801240217414225
0.095,-80,0.0002780124172903065
0.096,-80,0.00027801243000336306
0.097,-80,0.0002780124406953484
0.098,-80,0.0002780124496875641
0.099,-80,0.00027801245725023296
0.0,-70,0.0
0.001,-70,2.4347438753798047e-06
0.002,-70,2.78166566077946e-05
0.003,-70,0.00010159313486704001
0.004,-70,0.00023401418780161188
0.005,-70,0.000420616549424344
0.006,-70,0.0006485405111885505
0.007,-70,0.000902195386049381
0.008,-70,0.001166846284092587
0.009,-70,0.001430364709030401
0.01,-70,0.0016837518919330418
0.011,-70,0.001920975439977786
0.012,-70,0.002138493835031628
0.013,-70,0.002334693619428361
0.014,-70,0.0025093574780130678
0.015,-70,0.0026632145284886965
0.016,-70,0.00279758621601732
0.017,-70,0.0029141220535849307
0.018,-70,0.003014611435777475
0.019,-70,0.003100855824260504
0.02,-70,0.0031745866575358063
0.021,-70,0.0032374165987877892
0.022,-70,0.0032908142592950646
0.023,-70,0.003336094869111531
0.024,-70,0.003374421334788327
0.025,-70,0.0034068116922545376
0.026,-70,0.003434150165022892
0.027,-70,0.0034571999323335934
0.028,-70,0.0034766163613535266
0.029,-70,0.0034929599189705506
0.03,-70,0.0035067082995885726
0.031,-70,0.0035182675234156566
0.032,-70,0.0035279819040644426
0.033,-70,0.003536142876589777
0.034,-70,0.003542996733336552
0.035,-70,0.003548751346692344
0.036,-70,0.0035535819732407845
0.037,-70,0.0035576362386519626
0.038,-70,0.003561038400908741
0.039,-70,0.003563892983865595
0.04,-70,0.003566287865482585
0.041,-70,0.003568296896555931
0.042,-70,0.0035699821171283103
0.043,-70,0.0035713956294601604
0.044,-70,0.003572581178732855
0.045,-70,0.0035735754856596486
0.046,-70,0.003574409368940578
0.047,-70,0.0035751086900014687
0.048,-70,0.00357569514766231
0.049,-70,0.0035761869462283664
0.05,-70,0.00357659935692349
0.051,-70,0.003576945189523095
0.052,-70,0.0035772351884308727
0.053,-70,0.0035774783652196534
0.054,-70,0.0035776822777695548
0.055,-70,0.003577853264537977
0.056,-70,0.003577996641144432
0.057,-70,0.003578116865311909
0.058,-70,0.0035782176752439353
0.059,-70,0.0035783022057055388
0.06,-70,0.0035783730853934785
0.061,-70,0.003578432518606689
0.062,-70,0.003578482353744854
0.063,-70,0.003578524140757016
0.064,-70,0.003578559179321006
